Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Tags,Brands,Upsells,Cross-sells,Attribute 1 name,Attribute 1 value,Attribute 1 visible,Attribute 1 global,Attribute 1 for variation,Attribute 2 name,Attribute 2 value,Attribute 2 visible,Attribute 2 global,Attribute 2 for variation,Attribute 3 name,Attribute 3 value,Attribute 3 visible,Attribute 3 global,Attribute 3 for variation,ID,"GTIN, UPC, EAN, or ISBN",Date sale price starts,Date sale price ends,Tax class,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,External URL,Button text,Position
variable,DRA-EP3,Dragon Ball - Episode 3,1,visible,Experience the classic adventures of Dragon Ball in this episode 3.,This is the official release of Dragon Ball episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Dragon Ball,"Dragon Ball, Anime, English Edition",Dragon Ball,DRA-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,TSU-EP1,Tsubasa - Episode 1,1,visible,Experience the classic adventures of Tsubasa in this episode 1.,This is the official release of Tsubasa episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Tsubasa,"Tsubasa, Anime, English Edition",Tsubasa,TSU-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,TSU-EP2,Tsubasa - Episode 2,1,visible,Experience the classic adventures of Tsubasa in this episode 2.,This is the official release of Tsubasa episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Tsubasa,"Tsubasa, Anime, English Edition",Tsubasa,TSU-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,TSU-EP3,Tsubasa - Episode 3,1,visible,Experience the classic adventures of Tsubasa in this episode 3.,This is the official release of Tsubasa episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Tsubasa,"Tsubasa, Anime, English Edition",Tsubasa,TSU-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,CON-EP1,Conan - Episode 1,1,visible,Experience the classic adventures of Conan in this episode 1.,This is the official release of Conan episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Conan,"Conan, Anime, English Edition",Conan,CON-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,CON-EP2,Conan - Episode 2,1,visible,Experience the classic adventures of Conan in this episode 2.,This is the official release of Conan episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Conan,"Conan, Anime, English Edition",Conan,CON-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,CON-EP3,Conan - Episode 3,1,visible,Experience the classic adventures of Conan in this episode 3.,This is the official release of Conan episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Conan,"Conan, Anime, English Edition",Conan,CON-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,KIM-EP1,Kimetsu no Yaiba - Episode 1,1,visible,Experience the classic adventures of Kimetsu no Yaiba in this episode 1.,This is the official release of Kimetsu no Yaiba episode 1. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Kimetsu no Yaiba,"Kimetsu no Yaiba, Anime, English Edition",Kimetsu no Yaiba,KIM-EP2,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,KIM-EP2,Kimetsu no Yaiba - Episode 2,1,visible,Experience the classic adventures of Kimetsu no Yaiba in this episode 2.,This is the official release of Kimetsu no Yaiba episode 2. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Kimetsu no Yaiba,"Kimetsu no Yaiba, Anime, English Edition",Kimetsu no Yaiba,KIM-EP3,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
variable,KIM-EP3,Kimetsu no Yaiba - Episode 3,1,visible,Experience the classic adventures of Kimetsu no Yaiba in this episode 3.,This is the official release of Kimetsu no Yaiba episode 3. Enjoy the story with multiple formats.,taxable,1,100,30.0,25.0,Kimetsu no Yaiba,"Kimetsu no Yaiba, Anime, English Edition",Kimetsu no Yaiba,KIM-EP1,General-Anime-Accessory,Format,Hardcover|Paperback|Leather cover,1,1,1,Language,English|Vietnamese|Bilingual,1,1,1,Edition,Regular|Limited Edition,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
